Category,File,Reason Created,Why Delete
PKL,urcm_10m_brain.pkl,Trained brain snapshot from 10M-param experiment,Stale checkpoint - not latest model
PKL,urcm_bilinear_chain.pkl,Bilinear chain experiment snapshot,Experiment artifact - superseded
PKL,urcm_bilinear_ok.pkl,Bilinear experiment checkpoint,Experiment artifact - superseded
PKL,urcm_bilinear.pkl,Bilinear experiment checkpoint,Experiment artifact - superseded
PKL,urcm_bilinear2.pkl,Bilinear experiment variant,Experiment artifact - superseded
PKL,urcm_exec_struct.pkl,Executive structure experiment,Experiment artifact
PKL,urcm_hierarchy_trained.pkl,Hierarchy training checkpoint,Experiment artifact
PKL,urcm_identity_smoothed.pkl,Identity experiment smoothed weights,Experiment artifact
PKL,urcm_identity_snapshot.pkl,Identity experiment snapshot,Experiment artifact
PKL,urcm_identity.pkl,Identity experiment,Experiment artifact
PKL,urcm_lb_logic.pkl,Left-brain logic experiment,Experiment artifact
PKL,urcm_mastery.pkl,Mastery experiment,Experiment artifact
PKL,urcm_medical.pkl,Medical domain experiment,Experiment artifact
PKL,urcm_piecewise.pkl,Piecewise experiment,Experiment artifact
PKL,urcm_plan_exec.pkl,Plan executor experiment,Experiment artifact
PKL,urcm_plan_numeric.pkl,Numeric planning,Experiment artifact
PKL,urcm_plan_numeric2.pkl,Numeric planning v2,Experiment artifact
PKL,urcm_planner_nl.pkl,Natural language planner,Experiment artifact
PKL,urcm_planner_smt.pkl,SMT planner,Experiment artifact
PKL,urcm_planner.pkl,Planner experiment,Experiment artifact
PKL,urcm_pred_ont.pkl,Predicate ontology,Experiment artifact
PKL,urcm_prior_dbg.pkl,Prior debug snapshot,Experiment artifact
PKL,urcm_rand_0.pkl through urcm_rand_19.pkl (20 files),Random initialization / ablation sweep (20 seeds),"Ablation sweep artifact - multi-seed experiment, only aggregate results matter"
PKL,urcm_runtime_grounding.pkl,Runtime grounding,Experiment artifact
PKL,urcm_scdl_brain.pkl,SCDL training,Experiment artifact
PKL,urcm_self_evolve.pkl,Self-evolve experiment,Experiment artifact
PKL,urcm_stress_extreme_refusal.pkl,Stress test extreme refusal,Experiment artifact
PKL,urcm_stress_extreme.pkl,Stress test extreme,Experiment artifact
PKL,urcm_stress_hard_int.pkl,Stress test hard int,Experiment artifact
PKL,urcm_stress_hard.pkl,Stress test hard,Experiment artifact
PKL,urcm_stress_int_proj.pkl,Stress test int projection,Experiment artifact
PKL,urcm_stress_mixed.pkl,Stress test mixed,Experiment artifact
PKL,urcm_trained_brain.pkl,Trained brain checkpoint,Stale - superseded by later training
PKL,urcm_type_guided.pkl,Type-guided experiment,Experiment artifact
PKL,urcm_weights.pkl,Model weights dump,Stale checkpoint - binary artifact, use config+seed to reproduce
DEBUG,analyze_brain_health.py,One-off brain health analysis,Debug script - one-time use, not part of core
DEBUG,debug_brain.py,Debug brain internals,Debug script - one-time use
DEBUG,debug_phonemes.py,Debug phoneme mapper,Debug script - one-time use
DEBUG,debug_topology.py,Debug topology structure,Debug script - one-time use
DEBUG,debug_training_data.py,Debug training data pipeline,Debug script - one-time use
DEBUG,check_collision.py,Check name collisions,One-off check - not needed after fix
DEBUG,check_m_d.py,Check M-D parameters,One-off check
DEBUG,fix_weights.py,Fix corrupted weights,One-off fix - problem resolved
DEBUG,smooth_brain.py,Smooth brain weights,One-off experiment
DEBUG,diagnose_bottleneck.py,Diagnose performance bottleneck,One-off diagnostic
DEBUG,extract_isre_data.py,Extract ISRE dataset,One-off data extraction
DEBUG,explore.py,Explore model internals,One-off exploration
DEBUG,inspect_brain.py,Inspect brain state,One-off inspection
DEBUG,liberate.py,Memory liberation experiment,One-off experiment
